Name,Sector,CAD Symbol,Local Market,US Symbol,International Market
Silvercorp Metals Inc.,Mining,SVM.TO,TSX,SVM,NASDAQ
TELUS Corporation,Communications & Media,T.TO,TSX,TU,NASDAQ
TransAlta Corporation,Utilities & Pipelines,TA.TO,TSX,TAC,NASDAQ
Toronto-Dominion Bank (The),Financial Services,TD.TO,TSX,TD,NASDAQ
TFI International Inc ,Industrial Products & Services,TFII.TO,TSX,TFII,NASDAQ
Taseko Mines Limited,Mining,TKO.TO,TSX,TGB,NASDAQ
Thomson Reuters Corporation,Communications & Media,TRI.TO,TSX,TRI,NASDAQ
TC Energy Corporation,Utilities & Pipelines,TRP.TO,TSX,TRP,NASDAQ
Turquoise Hill Resources Ltd.,Mining,TRQ.TO,TSX,TRQ,NASDAQ
Domtar Corporation,Consumer Products & Services,UFS.TO,TSX,UFS,NASDAQ
Vermilion Energy Inc.,Oil & Gas,VET.TO,TSX,VET,NASDAQ
Vista Gold Corp.,Mining,VGZ.TO,TSX,VGZ,NASDAQ
"Waste Connections, Inc.",Industrial Products & Services,WCN.TO,TSX,WCN,NASDAQ
Wheaton Precious Metals Corp.,Mining,WPM.TO,TSX,WPM,NASDAQ
Western Copper and Gold Corporation,Mining,WRN.TO,TSX,WRN,NASDAQ
Yamana Gold Inc.,Mining,YRI.TO,TSX,AUY,NASDAQ
